Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µF","C_0805_2012Metric",106.300000,-101.600000,90.000000,top
"C2","22µF","C_0805_2012Metric",106.300000,-105.600000,90.000000,top
"C3","22µF","C_0805_2012Metric",115.700000,-94.800000,90.000000,top
"C4","100nF","C_0603_1608Metric",113.300000,-100.800000,90.000000,top
"C5","100nF","C_0603_1608Metric",109.000000,-89.700000,0.000000,top
"C6","1µF","C_0805_2012Metric",141.000000,-85.200000,0.000000,top
"C7","100nF","C_0603_1608Metric",112.000000,-89.700000,0.000000,top
"C8","10µF","C_0805_2012Metric",160.440000,-96.500000,90.000000,top
"C9","100nF","C_0603_1608Metric",169.680000,-76.500000,0.000000,top
"C10","10µF","C_0603_1608Metric",115.000000,-89.700000,0.000000,top
"D1","D_TVS","D_SMB",120.000000,-91.500000,90.000000,top
"D2","TSAL6200","LED_D5.0mm",133.000000,-66.000000,158.000000,top
"D3","TSAL6200","LED_D5.0mm",141.000000,-66.000000,113.000000,top
"D4","TSAL6200","LED_D5.0mm",149.000000,-66.000000,68.000000,top
"D5","TSAL6200","LED_D5.0mm",157.000000,-66.000000,23.000000,top
"D6","Red","LED_D3.0mm",110.500000,-107.800000,90.000000,top
"D7","Green","LED_D3.0mm",115.100000,-106.500000,90.000000,top
"D8","Amber","LED_D3.0mm",119.750000,-106.500000,90.000000,top
"D9","Amber","LED_D3.0mm",124.400000,-106.500000,90.000000,top
"D10","Red","LED_D3.0mm",148.000000,-78.700000,90.000000,top
"D11","Blue","LED_D3.0mm",146.000000,-103.500000,90.000000,top
"D12","Blue","LED_D3.0mm",151.500000,-103.500000,90.000000,top
"F1","1.1A","Fuse_1812_4532Metric",124.400000,-90.800000,90.000000,top
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4085",135.000000,-114.000000,180.000000,top
"J3","Qwiic_I2C","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",176.500000,-95.140000,-90.000000,top
"J4","GPIO_PWR","PinHeader_2x05_P2.54mm_Vertical",167.000000,-103.500000,90.000000,top
"J5","EXT_IR","PinHeader_1x02_P2.54mm_Vertical",121.300000,-63.900000,0.000000,top
"J6","JTAG","PinHeader_2x05_P2.54mm_Vertical",155.000000,-86.000000,0.000000,top
"L1","4.7µH","IND-SMD_L6.7-W6.7",109.000000,-95.500000,0.000000,top
"Q1","Q_NPN_BCE","SOT-23",128.360000,-88.200000,0.000000,top
"Q2","Q_NPN_BCE","SOT-23",128.360000,-92.000000,0.000000,top
"Q3","IRLML6344","SOT-23",137.500000,-78.500000,0.000000,top
"Q4","2N7002","SOT-23",146.000000,-97.900000,0.000000,top
"Q5","2N7002","SOT-23",150.500000,-97.900000,0.000000,top
"R1","5.1kΩ","R_0805_2012Metric",132.000000,-97.500000,0.000000,top
"R2","5.1kΩ","R_0805_2012Metric",135.500000,-97.500000,0.000000,top
"R3","10kΩ","R_1206_3216Metric",127.300000,-95.000000,0.000000,top
"R4","10kΩ","R_1206_3216Metric",127.500000,-97.300000,0.000000,top
"R5","10kΩ","R_1206_3216Metric",161.000000,-79.000000,0.000000,top
