Designator,Value,LCSC,Qty per board,Notes
D1,D_TVS,C83333,1,"TVS SMBJ5.0A, SMB 2-pad. CATHODE BAND TOWARD F1."
"D2,D3,D4,D5",TSAL6200,C55528,4,TSAL6200 IR LED. Bend 90deg over north edge per silk fan guide.
"D6,D10",Red,C99772,2,"Red 3mm, 5V power LED. Flat = cathode."
D7,Green,C85161,1,"Green 3mm, 3V3 power LED. Flat = cathode."
"D8,D9",Amber,C85160,2,"Amber 3mm, serial TX LED. Flat = cathode."
"D11,D12",Blue,C86881,2,"Blue 3mm, user LED 1. Flat = cathode."
F1,1.1A,C142747,1,"Polyfuse 1812, 2-pad, non-polarized. Fit BEFORE first power."
J2,USB_C_Receptacle_USB2.0_14P,C7095263,1,"USB-C GCT USB4085, through-hole. Fit BEFORE first power."
J3,Qwiic_I2C,C160404,1,Qwiic JST-SH 1mm pitch. Fiddliest of the kit; flux + drag.
L1,4.7µH,C78804,1,"4.7uH 6x6mm, side-wrap terminations. Fit BEFORE first power."
U4,TSOP382xx,C141632,1,"TSOP38238 IR receiver, 3-pin THT."
U5,AM2302,C83988,1,"AM2302/DHT22, 4-pin THT. NEAR STOCK-OUT AT LCSC - order early."
J4,2x5 pin header 2.54mm,,1,Spare GPIO header. Generic.
J5,1x2 pin header 2.54mm,,1,Ext-IR header (optional). Generic.
