Comment,Designator,Footprint,LCSC
10µF,"C1,C8",C_0805_2012Metric,C15850
22µF,"C2,C3",C_0805_2012Metric,C45783
100nF,"C4,C5,C7,C9",C_0603_1608Metric,C14663
1µF,C6,C_0805_2012Metric,C28323
10µF,C10,C_0603_1608Metric,C19702
2N7002,"Q1,Q2,Q4,Q5",SOT-23,C8545
AO3400A,Q3,SOT-23,C20917
5.1kΩ,"R1,R2",R_0805_2012Metric,C27834
10kΩ,"R3,R4,R5,R6,R7,R8",R_1206_3216Metric,C17902
18Ω,"R9,R10,R11,R12",R_1206_3216Metric,C17922
470Ω,"R13,R16,R17,R18,R19",R_0805_2012Metric,C17710
100kΩ,R14,R_1206_3216Metric,C17900
1kΩ,R15,R_1206_3216Metric,C4410
1kΩ,"R20,R25",R_0805_2012Metric,C17513
470Ω,"R21,R26",R_0603_1608Metric,C23179
10kΩ,R22,R_1206_3216Metric,C17902
100kΩ,"R23,R24",R_0603_1608Metric,C25803
100Ω,R27,R_1206_3216Metric,C17901
RESET,SW1,SW-SMD_TS-1187A-5.1x5.1,C318884
BOOT,SW2,SW-SMD_TS-1187A-5.1x5.1,C318884
AP63203WU,U1,TSOT-23-6,C780769
CH340C,U2,SOIC-16_3.9x9.9mm_P1.27mm,C84681
ESP32-WROOM-32E,U3,ESP32-WROOM-32D,C701341
