Designator,Mid X,Mid Y,Layer,Rotation
C1,106.300000,-101.600000,Top,90.000000
C2,106.300000,-105.600000,Top,90.000000
C3,115.700000,-94.800000,Top,90.000000
C4,113.300000,-100.800000,Top,90.000000
C5,109.000000,-89.700000,Top,0.000000
C6,141.000000,-85.200000,Top,0.000000
C7,112.000000,-89.700000,Top,0.000000
C8,160.440000,-96.500000,Top,90.000000
C9,169.680000,-76.500000,Top,0.000000
C10,115.000000,-89.700000,Top,0.000000
D1,120.000000,-91.500000,Top,90.000000
D2,133.000000,-66.000000,Top,158.000000
D3,141.000000,-66.000000,Top,113.000000
D4,149.000000,-66.000000,Top,68.000000
D5,157.000000,-66.000000,Top,23.000000
D6,110.500000,-107.800000,Top,90.000000
D7,115.100000,-106.500000,Top,90.000000
D8,119.750000,-106.500000,Top,90.000000
D9,124.400000,-106.500000,Top,90.000000
D10,148.000000,-78.700000,Top,90.000000
D11,146.000000,-103.500000,Top,90.000000
D12,151.500000,-103.500000,Top,90.000000
F1,124.400000,-90.800000,Top,90.000000
J2,135.000000,-114.000000,Top,180.000000
J3,176.500000,-95.140000,Top,-90.000000
J4,167.000000,-103.500000,Top,90.000000
J5,121.300000,-63.900000,Top,0.000000
L1,109.000000,-95.500000,Top,0.000000
Q1,128.360000,-88.200000,Top,0.000000
Q2,128.360000,-92.000000,Top,0.000000
Q3,137.500000,-78.500000,Top,0.000000
Q4,146.000000,-97.900000,Top,0.000000
Q5,150.500000,-97.900000,Top,0.000000
R1,132.000000,-97.500000,Top,0.000000
R2,135.500000,-97.500000,Top,0.000000
R3,127.300000,-95.000000,Top,0.000000
R4,127.500000,-97.300000,Top,0.000000
R5,161.000000,-79.000000,Top,0.000000
R6,165.800000,-79.000000,Top,0.000000
R7,161.000000,-76.400000,Top,0.000000
R8,126.300000,-85.230000,Top,0.000000
R9,134.500000,-72.500000,Top,90.000000
R10,142.500000,-71.890000,Top,90.000000
R11,150.500000,-72.500000,Top,90.000000
R12,158.500000,-72.500000,Top,90.000000
R13,134.500000,-82.000000,Top,0.000000
R14,139.500000,-82.000000,Top,0.000000
R15,110.000000,-113.200000,Top,0.000000
R16,115.100000,-101.100000,Top,90.000000
R17,119.750000,-101.100000,Top,90.000000
R18,124.400000,-101.100000,Top,90.000000
R19,148.000000,-83.000000,Top,90.000000
R20,149.500000,-90.900000,Top,0.000000
R21,131.050000,-90.100000,Top,90.000000
R22,154.500000,-76.800000,Top,0.000000
R23,144.200000,-81.500000,Top,90.000000
R24,154.050000,-98.940000,Top,0.000000
R25,149.500000,-93.150000,Top,0.000000
R26,130.900000,-94.800000,Top,90.000000
R27,168.880000,-73.000000,Top,0.000000
SW1,152.000000,-108.300000,Top,0.000000
SW2,162.000000,-108.300000,Top,0.000000
U1,110.000000,-102.000000,Top,180.000000
U2,138.500000,-91.500000,Top,-90.000000
U3,113.500000,-78.000000,Top,90.000000
U4,175.000000,-71.000000,Top,-90.000000
U5,166.000000,-84.500000,Top,0.000000
